              wavelength     intg_flux  intg_flux_err  profile_flux  profile_flux_err          eqw    eqw_err particle                                     latex_label                              group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave     peak_flux       cont  cont_err    m_cont      n_cont  m_cont_err  n_cont_err     snr_line   snr_cont    z_line           amp       center     sigma  gamma  frac  alpha   a   b   c     amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err         v_r    v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i     FWHM_p         FWZI       v_med        v_50         v_1         v_5        v_10        v_90        v_95        v_99      chisqr     redchi         aic         bic observations comments
H1_3704A          3704.0     26.124451       9.549613     57.604085         14.926598     1.412601   0.381458       H1                            $HI3704\mathring{A}$                                     none         no  3671.309444  3681.364925  3700.450000  3709.100000  3758.000000  3764.000000          NaN          NaN  3879.716064     62.552994  40.778737  3.099222 -0.097273  418.171062    0.015826   61.603804    10.601441  13.157733  0.047463     24.162199  3879.802840  0.954329    NaN   NaN    NaN NaN NaN NaN    4.093464    0.181168   0.176252        NaN       NaN        NaN    NaN    NaN    NaN    6.705297  13.999152   73.742689      13.619288       9.082224          NaN      11.0  69.023899         NaN   2.247274          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   50.130628   1.790380   20.899993   25.201955           no       no
O2_3726A          3726.0   5150.702973      38.765433   2327.655976         63.358163    61.498446   6.228392       O2                         $[OII]3726\mathring{A}$      O2_3726A+O2_3729A+H1_3721A+H1_3734A         no  3665.750000  3694.260000  3716.020000  3743.700000  3754.880000  3767.500000  3895.972432  3911.638077  3905.710693    906.188110  37.849021  3.692203 -0.092935  400.824862    0.011977   46.608192   322.478020  10.251067  0.047453    764.925174  3902.808229  1.213228    NaN   NaN    NaN NaN NaN NaN   17.557614    0.023526   0.015698        NaN       NaN        NaN    NaN    NaN    NaN  128.236433   1.807909   93.233442       1.206380       2.279635          NaN      33.0  69.030889  414.145508   2.856934  1202.455234 -103.583237 -139.285139 -610.438805 -411.621889 -351.771466   58.705804  113.604857  353.550630  110.750031   1.517124   43.940112   68.128518           no       no
O2_3729A          3729.0   5150.702973      38.765433   2570.394743         59.370385    67.911789   6.808024       O2                         $[OII]3729\mathring{A}$      O2_3726A+O2_3729A+H1_3721A+H1_3734A         no  3665.750000  3694.260000  3716.020000  3743.700000  3754.880000  3767.500000  3895.972432  3911.638077  3905.710693    906.188110  37.849021  3.692203 -0.092935  400.824862    0.011977   46.608192   356.271592  10.251067  0.047394    845.084292  3905.730614  1.214137    NaN   NaN    NaN NaN NaN NaN   16.530000    0.023544   0.015710        NaN       NaN        NaN    NaN    NaN    NaN  111.345689   1.807807   93.228191       1.206312       2.279635          NaN      33.0  69.030889  414.145508   2.859073  1202.455234 -103.583237 -139.285139 -610.438805 -411.621889 -351.771466   58.705804  113.604857  353.550630  110.750031   1.517124   43.940112   68.128518           no       no
H1_3721A          3721.0   5150.702973      38.765433    162.621822         21.223414     4.296593   0.700074       H1                            $HI3721\mathring{A}$      O2_3726A+O2_3729A+H1_3721A+H1_3734A         no  3665.750000  3694.260000  3716.020000  3743.700000  3754.880000  3767.500000  3895.972432  3911.638077  3905.710693    906.188110  37.849021  3.692203 -0.092935  400.824862    0.011977   46.608192    22.621197  10.251067  0.047753     53.657991  3898.688556  1.197181    NaN   NaN    NaN NaN NaN NaN    3.855939    0.141643   0.132450        NaN       NaN        NaN    NaN    NaN    NaN  214.235729  10.899558   92.123904      10.192098       9.082224          NaN      33.0  69.030889  414.145508   2.819147  1202.455234 -103.583237 -139.285139 -610.438805 -411.621889 -351.771466   58.705804  113.604857  353.550630  110.750031   1.517124   43.940112   68.128518           no       no
H1_3734A          3734.0   5150.702973      38.765433    122.359311         16.926983     3.232826   0.547233       H1                            $HI3734\mathring{A}$      O2_3726A+O2_3729A+H1_3721A+H1_3734A         no  3665.750000  3694.260000  3716.020000  3743.700000  3754.880000  3767.500000  3895.972432  3911.638077  3905.710693    906.188110  37.849021  3.692203 -0.092935  400.824862    0.011977   46.608192    17.771443  10.251067  0.047495     42.154267  3911.346280  1.159139    NaN   NaN    NaN NaN NaN NaN    3.817472    0.119202   0.120774        NaN       NaN        NaN    NaN    NaN    NaN  140.385282   9.140711   88.885998       9.261296       9.082224          NaN      33.0  69.030889  414.145508   2.729564  1202.455234 -103.583237 -139.285139 -610.438805 -411.621889 -351.771466   58.705804  113.604857  353.550630  110.750031   1.517124   43.940112   68.128518           no       no
H1_3750A          3750.0    137.765611       9.415557    146.850980          9.654309     4.165537   0.369444       H1                            $HI3750\mathring{A}$                                     none         no  3739.608571  3744.770010  3746.433569  3756.674784  3778.128267  3787.127482          NaN          NaN  3928.257080     84.617851  35.253797  2.098713 -0.007957   66.511517    0.026712  105.436693    26.657483  16.797815  0.047503     49.662166  3928.134985  1.184973    NaN   NaN    NaN NaN NaN NaN    2.361471    0.060130   0.057681        NaN       NaN        NaN    NaN    NaN    NaN   -9.317903   4.588916   90.433509       4.402061       9.082224          NaN      13.0  69.027121         NaN   2.790399          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   21.545459   0.769481   -5.278486   -0.976524           no       no
H1_3771A          3771.0    189.631465       9.006263    189.741004          9.751116     5.386342   0.425456       H1                            $HI3771\mathring{A}$                                     none         no  3759.191222  3767.280375  3767.467189  3775.787336  3776.807987  3782.905843          NaN          NaN  3949.116211     93.771523  35.226316  2.112984 -0.024603  132.386497    0.059395  234.514851    29.126258  16.671360  0.047344     61.086675  3949.534679  1.239301    NaN   NaN    NaN NaN NaN NaN    2.222152    0.047504   0.045349        NaN       NaN        NaN    NaN    NaN    NaN   31.767499   3.606217   94.080090       3.442642       9.082224          NaN      11.0  69.024855         NaN   2.918332          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   17.042798   0.681712   -7.901350   -3.904737           no       no
H1_3798A          3798.0    280.672987       8.748130    277.441008         10.922664     8.123214   0.546425       H1                            $HI3798\mathring{A}$                                     none         no  3783.611244  3792.711692  3794.484507  3804.530457  3809.494338  3816.703784          NaN          NaN  3978.322510    120.830368  34.154095  1.862859  0.017289  -34.627915    0.033169  131.975844    47.190816  18.334238  0.047426     90.845037  3978.122683  1.223400    NaN   NaN    NaN NaN NaN NaN    2.538782    0.034471   0.032213        NaN       NaN        NaN    NaN    NaN    NaN  -15.058255   2.597593   92.191122       2.427448       9.082224          NaN      12.0  69.041111         NaN   2.880886          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   23.296963   0.803344   -4.157213    0.239995           no       no
H1_3835A          3835.0    374.505106      10.019844    372.633419         14.210028    10.778311   1.079806       H1                            $HI3835\mathring{A}$                                     none         no  3823.148476  3829.538777  3830.713846  3842.317585  3844.260000  3852.830000          NaN          NaN  4016.982666    149.793915  34.572525  3.202855 -0.013359   88.237360    0.064513  259.348168    69.165474  10.794284  0.047555    122.884286  4017.374625  1.210009    NaN   NaN    NaN NaN NaN NaN    3.640234    0.034576   0.031932        NaN       NaN        NaN    NaN    NaN    NaN   29.252365   2.580453   90.304520       2.383111       9.082224          NaN      14.0  69.030549         NaN   2.849354          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   40.089995   1.336333   12.422435   16.911958           no       no
Ne3_3869A         3869.0   2572.280618      23.411232   2500.457356         48.350261    73.999700   3.258066      Ne3                       $[NeIII]3869\mathring{A}$                                     none         no  3848.690492  3855.121817  3857.181592  3877.178695  3895.984615  3907.039138  4044.007947  4060.055224  4052.286133    796.428894  33.790101  1.336556 -0.049364  233.827657    0.012047   49.003465   375.421346  25.281478  0.047401    757.879842  4052.392831  1.316537    NaN   NaN    NaN NaN NaN NaN   12.792582    0.015105   0.012648        NaN       NaN        NaN    NaN    NaN    NaN    7.893680   1.117470   97.398848       0.935698       2.029830          NaN      23.0  68.978774  207.060287   3.100209  1187.194698  -69.104385  -26.245015 -329.176198 -200.045965 -160.030835  108.030162  144.101464  306.823951   89.820286   2.190739   37.399333   42.751902           no       no
